IndF,year,age,ImmiOrNatal,sex,Mean.GenR.Adult,Mean.PedR.Adult,N.Adult,Mean.GenR.All,Mean.PedR.All,N.All
Atwood,2017,21.51,Immigrant,F,0.0157017142857143,0,56,0.0140307391304348,0,92
Atwood,2017,21.51,Immigrant,M,0.00673579545454545,0,44,0.00718186111111111,0,72
Atwood,2018,22.51,Immigrant,F,0.0153585087719298,0,57,0.0138400752688172,0,93
Atwood,2018,22.51,Immigrant,M,0.00624771739130435,0,46,0.0133970897435897,0.00641025641025641,78
Atwood,2019,23.51,Immigrant,F,0.0149260847457627,0,59,0.013839752688172,0,93
Atwood,2019,23.51,Immigrant,M,0.00649488888888889,0,45,0.0135789333333333,0.00666666666666667,75
Atwood,2020,24.51,Immigrant,F,0.0154497192982456,0,57,0.0141438681318681,0,91
Atwood,2020,24.51,Immigrant,M,0.00681429787234043,0,47,0.0137623918918919,0.00675675675675676,74
Bacall,2005,13.76,Immigrant,F,0.006639,0,27,0.0072110652173913,0,46
Bacall,2005,13.76,Immigrant,M,0.00451430769230769,0,26,0.00602960869565217,0,46
Bacall,2006,14.76,Immigrant,F,0.0064895,0,28,0.0066865,0,50
Bacall,2006,14.76,Immigrant,M,0.00551092857142857,0,28,0.00558488235294118,0,51
Bacall,2007,15.76,Immigrant,F,0.00598340625,0,32,0.006372,0,54
Bacall,2007,15.76,Immigrant,M,0.0058082,0,30,0.00597945283018868,0,53
Bacall,2008,16.76,Immigrant,F,0.00576142105263158,0,38,0.00614610714285714,0,56
Bacall,2008,16.76,Immigrant,M,0.0058082,0,30,0.00598514285714286,0,56
Bacall,2009,17.76,Immigrant,F,0.00591360465116279,0,43,0.00612490476190476,0,63
Bacall,2009,17.76,Immigrant,M,0.0055029375,0,32,0.00665389473684211,0,57
Bacall,2010,18.76,Immigrant,F,0.00557430434782609,0,46,0.0058535303030303,0,66
Bacall,2010,18.76,Immigrant,M,0.00548172222222222,0,36,0.00670101694915254,0,59
Bacall,2011,19.76,Immigrant,F,0.00536370833333333,0,48,0.00531458904109589,0,73
Bacall,2011,19.76,Immigrant,M,0.0053595,0,38,0.00638580597014925,0,67
Bacall,2012,20.76,Immigrant,F,0.00530269230769231,0,52,0.0105798072289157,0.00602409638554217,83
Bacall,2012,20.76,Immigrant,M,0.0055292,0,40,0.00597745833333333,0,72
Bacall,2013,21.76,Immigrant,F,0.00527978181818182,0,55,0.0104896551724138,0.00574712643678161,87
Bacall,2013,21.76,Immigrant,M,0.00544929268292683,0,41,0.00612251315789474,0,76
Bacall,2014,22.76,Immigrant,F,0.00603238181818182,0,55,0.010634202247191,0.00561797752808989,89
Bacall,2014,22.76,Immigrant,M,0.00539335135135135,0,37,0.006048,0,73
Bacall,2015,23.76,Immigrant,F,0.00572354385964912,0,57,0.0101611182795699,0.00537634408602151,93
Bacall,2015,23.76,Immigrant,M,0.00603559523809524,0,42,0.00647551315789474,0,76
Bacall,2016,24.76,Immigrant,F,0.00582430357142857,0,56,0.0149294574468085,0.0106382978723404,94
Bacall,2016,24.76,Immigrant,M,0.00567260869565217,0,46,0.00623318987341772,0,79
Bacall,2017,25.76,Immigrant,F,0.00530178571428571,0,56,0.0145084891304348,0.0108695652173913,92
Bacall,2017,25.76,Immigrant,M,0.00597318181818182,0,44,0.00625258333333333,0,72
Bacall,2018,26.76,Immigrant,F,0.00522517543859649,0,57,0.0144497419354839,0.010752688172043,93
Bacall,2018,26.76,Immigrant,M,0.00573115217391304,0,46,0.00649458974358974,0,78
Bacall,2019,27.76,Immigrant,F,0.00504945762711864,0,59,0.0144502365591398,0.010752688172043,93
Bacall,2019,27.76,Immigrant,M,0.00670346666666667,0,45,0.00667314666666667,0,75
Bacall,2020,28.76,Immigrant,F,0.00513215789473684,0,57,0.0147086483516484,0.010989010989011,91
Bacall,2020,28.76,Immigrant,M,0.00676051063829787,0,47,0.00676217567567568,0,74
Baez,2015,14.18,Immigrant,F,0.0140645438596491,0,57,0.0119464086021505,0,93
Baez,2015,14.18,Immigrant,M,0.00529907142857143,0,42,0.00596951315789474,0,76
Baez,2016,15.17,Immigrant,F,0.014315,0,56,0.0118828936170213,0,94
Baez,2016,15.17,Immigrant,M,0.00500510869565217,0,46,0.00586279746835443,0,79
Baez,2017,16.18,Immigrant,F,0.0146885,0,56,0.0123930326086957,0,92
Baez,2017,16.18,Immigrant,M,0.00487827272727273,0,44,0.006081375,0,72
Baez,2018,17.18,Immigrant,F,0.0141033859649123,0,57,0.0120083440860215,0,93
Baez,2018,17.18,Immigrant,M,0.00507480434782609,0,46,0.0144930769230769,0.00641025641025641,78
Baez,2019,18.18,Immigrant,F,0.0136695084745763,0,59,0.0120073548387097,0,93
Baez,2019,18.18,Immigrant,M,0.00440293333333333,0,45,0.00810146666666667,0,75
Baez,2020,19.17,Immigrant,F,0.0137514912280702,0,57,0.0120221758241758,0,91
Baez,2020,19.17,Immigrant,M,0.00432544680851064,0,47,0.00817737837837838,0,74
Bartoli,2004,22.01,Unknown,F,0.00550130769230769,0,26,0.00617056097560976,0,41
Bartoli,2004,22.01,Unknown,M,0.00767242307692308,0,26,0.00671492682926829,0,41
Bartoli,2005,23.01,Unknown,F,0.00529851851851852,0,27,0.00569952173913043,0,46
Bartoli,2005,23.01,Unknown,M,0.00767242307692308,0,26,0.00621782608695652,0,46
Bartoli,2006,24.01,Unknown,F,0.00566339285714286,0,28,0.0155387,0.01,50
Bartoli,2006,24.01,Unknown,M,0.00807825,0,28,0.00603888235294118,0,51
Bartoli,2007,25.01,Unknown,F,0.00606521875,0,32,0.0150453148148148,0.00925925925925926,54
Bartoli,2007,25.01,Unknown,M,0.00781346666666667,0,30,0.00582611320754717,0,53
Bartoli,2008,26.01,Unknown,F,0.00719847368421053,0,38,0.0147988571428571,0.00892857142857143,56
Bartoli,2008,26.01,Unknown,M,0.00781346666666667,0,30,0.00592292857142857,0,56
Bartoli,2009,27.01,Unknown,F,0.00746462790697674,0,43,0.0139536825396825,0.00793650793650794,63
Bartoli,2009,27.01,Unknown,M,0.00732684375,0,32,0.00581935087719298,0,57
Bartoli,2010,28.01,Unknown,F,0.00698632608695652,0,46,0.014076,0.00757575757575758,66
Bartoli,2010,28.01,Unknown,M,0.00703444444444444,0,36,0.00612064406779661,0,59
Bartoli,2011,29.01,Unknown,F,0.00692802083333333,0,48,0.013361698630137,0.00684931506849315,73
Bartoli,2011,29.01,Unknown,M,0.00678697368421053,0,38,0.00659085074626866,0,67
Bartoli,2012,30.01,Unknown,F,0.00711615384615385,0,52,0.0193313253012048,0.0120481927710843,83
Bartoli,2012,30.01,Unknown,M,0.00671205,0,40,0.00670016666666667,0,72
Bartoli,2013,31.01,Unknown,F,0.00732434545454545,0,55,0.0131517471264368,0.00574712643678161,87
Bartoli,2013,31.01,Unknown,M,0.00671492682926829,0,41,0.00657998684210526,0,76
Bartoli,2014,32.01,Unknown,F,0.00726925454545455,0,55,0.0133587191011236,0.00561797752808989,89
Bartoli,2014,32.01,Unknown,M,0.00720691891891892,0,37,0.00694104109589041,0,73
Bartoli,2015,33.01,Unknown,F,0.00784010526315789,0,57,0.0134886344086022,0.00537634408602151,93
Bartoli,2015,33.01,Unknown,M,0.00660390476190476,0,42,0.0134734210526316,0.00657894736842105,76
Bartoli,2016,34.01,Unknown,F,0.00798003571428571,0,56,0.0134962659574468,0.00531914893617021,94
Bartoli,2016,34.01,Unknown,M,0.00650697826086956,0,46,0.0131726455696203,0.00632911392405063,79
Bartoli,2017,35.01,Unknown,F,0.00779971428571429,0,56,0.0142565,0.00543478260869565,92
Bartoli,2017,35.01,Unknown,M,0.00651347727272727,0,44,0.0138534027777778,0.00694444444444444,72
Bartoli,2018,36.01,Unknown,F,0.00779478947368421,0,57,0.014103935483871,0.00537634408602151,93
Bartoli,2018,36.01,Unknown,M,0.00672695652173913,0,46,0.0136137692307692,0.00641025641025641,78
Bartoli,2019,37.01,Unknown,F,0.0158322542372881,0.00847457627118644,59,0.0140868387096774,0.00537634408602151,93
Bartoli,2019,37.01,Unknown,M,0.00643186666666667,0,45,0.01355452,0.00666666666666667,75
Bartoli,2020,38.01,Unknown,F,0.0157136140350877,0.0087719298245614,57,0.0139741648351648,0.00549450549450549,91
Bartoli,2020,38.01,Unknown,M,0.00678402127659574,0,47,0.0136774459459459,0.00675675675675676,74
Beecher,2014,13.76,Immigrant,F,0.0177077777777778,0,54,0.0155082045454545,0,88
Beecher,2014,13.76,Immigrant,M,0.0167092162162162,0,37,0.0150688611111111,0,72
Beecher,2015,14.76,Immigrant,F,0.0184575964912281,0,57,0.0160398924731183,0,93
Beecher,2015,14.76,Immigrant,M,0.0166632380952381,0,42,0.0156660657894737,0,76
Beecher,2016,15.76,Immigrant,F,0.0187758392857143,0,56,0.0216456170212766,0.00531914893617021,94
Beecher,2016,15.76,Immigrant,M,0.0156938913043478,0,46,0.0167071772151899,0,79
Beecher,2017,16.76,Immigrant,F,0.0191738928571429,0,56,0.021290847826087,0.00543478260869565,92
Beecher,2017,16.76,Immigrant,M,0.0185792272727273,0,44,0.0177600694444444,0,72
Beecher,2018,17.76,Immigrant,F,0.0188365087719298,0,57,0.0210675376344086,0.00537634408602151,93
Beecher,2018,17.76,Immigrant,M,0.0180516086956522,0,46,0.0168426666666667,0,78
Beecher,2019,18.76,Immigrant,F,0.0182377457627119,0,59,0.0207541182795699,0.00537634408602151,93
Beecher,2019,18.76,Immigrant,M,0.0176299555555556,0,45,0.0170116933333333,0,75
Beecher,2020,19.76,Immigrant,F,0.0188380175438597,0,57,0.0211854175824176,0.00549450549450549,91
Beecher,2020,19.76,Immigrant,M,0.016887914893617,0,47,0.0170721891891892,0,74
Beryl,2012,14.01,Immigrant,F,0.0149932692307692,0,52,0.0132200481927711,0,83
Beryl,2012,14.01,Immigrant,M,0.008862075,0,40,0.00909951388888889,0,72
Beryl,2013,15.01,Immigrant,F,0.0140686727272727,0,55,0.0125190574712644,0,87
Beryl,2013,15.01,Immigrant,M,0.00923409756097561,0,41,0.00943890789473684,0,76
Beryl,2014,16.01,Immigrant,F,0.014045,0,55,0.012638191011236,0,89
Beryl,2014,16.01,Immigrant,M,0.00884321621621622,0,37,0.00982480821917808,0,73
Beryl,2015,17.01,Immigrant,F,0.0133844736842105,0,57,0.0121199569892473,0,93
Beryl,2015,17.01,Immigrant,M,0.00886347619047619,0,42,0.00950698684210526,0,76
Beryl,2016,18.01,Immigrant,F,0.0133546964285714,0,56,0.0170765106382979,0.00531914893617021,94
Beryl,2016,18.01,Immigrant,M,0.00916071739130435,0,46,0.00970910126582279,0,79
Beryl,2017,19.01,Immigrant,F,0.0136331607142857,0,56,0.0120381413043478,0,92
Beryl,2017,19.01,Immigrant,M,0.00900961363636364,0,44,0.009128125,0,72
Beryl,2018,20.01,Immigrant,F,0.013724350877193,0,57,0.0121118602150538,0,93
Beryl,2018,20.01,Immigrant,M,0.00850832608695652,0,46,0.0093954358974359,0,78
Beryl,2019,21.01,Immigrant,F,0.0137873389830508,0,59,0.0123074301075269,0,93
Beryl,2019,21.01,Immigrant,M,0.00870357777777778,0,45,0.00976129333333333,0,75
Beryl,2020,22.01,Immigrant,F,0.0136360526315789,0,57,0.0121801428571429,0,91
Beryl,2020,22.01,Immigrant,M,0.00939402127659575,0,47,0.00969604054054054,0,74
Bessie,2004,42.01,Unknown,F,0.0108867692307692,0,26,0.010508,0,41
Bessie,2004,42.01,Unknown,M,0.00804426923076923,0,26,0.009478,0,41
Bessie,2005,43.01,Unknown,F,0.0104843703703704,0,27,0.0100235434782609,0,46
Bessie,2005,43.01,Unknown,M,0.00804426923076923,0,26,0.0085835,0,46
Bessie,2006,44.01,Unknown,F,0.0101714642857143,0,28,0.01002,0,50
Bessie,2006,44.01,Unknown,M,0.00747078571428571,0,28,0.00842439215686275,0,51
Bessie,2007,45.01,Unknown,F,0.011201,0,32,0.0106413148148148,0,54
Bessie,2007,45.01,Unknown,M,0.00726913333333333,0,30,0.0107371132075472,0,53
Bessie,2008,46.01,Unknown,F,0.0112083157894737,0,38,0.01078225,0,56
Bessie,2008,46.01,Unknown,M,0.00726913333333333,0,30,0.0110569642857143,0,56
Bessie,2009,47.01,Unknown,F,0.0111343023255814,0,43,0.0107464126984127,0,63
Bessie,2009,47.01,Unknown,M,0.00689871875,0,32,0.0110365263157895,0,57
Bessie,2010,48.01,Unknown,F,0.0109513913043478,0,46,0.011081803030303,0,66
Bessie,2010,48.01,Unknown,M,0.00991052777777778,0,36,0.0107793898305085,0,59
Bessie,2011,49.01,Unknown,F,0.010648,0,48,0.0106182191780822,0,73
Bessie,2011,49.01,Unknown,M,0.0095763947368421,0,38,0.0102651791044776,0,67
Bessie,2012,50.01,Unknown,F,0.0101000769230769,0,52,0.0100073855421687,0,83
Bessie,2012,50.01,Unknown,M,0.00971465,0,40,0.010235125,0,72
Bessie,2013,51.01,Unknown,F,0.0108621272727273,0,55,0.0110017011494253,0,87
Bessie,2013,51.01,Unknown,M,0.009478,0,41,0.0102461842105263,0,76
Bessie,2014,52.01,Unknown,F,0.0106077547169811,0,53,0.0110741395348837,0,86
Bessie,2014,52.01,Unknown,M,0.00971713513513514,0,37,0.01041175,0,72
Binoche,2004,13.01,Natal,F,0.0352427307692308,0.0192307692307692,26,0.030729487804878,0.0121951219512195,41
Binoche,2004,13.01,Natal,M,0.0408037307692308,0,26,0.0376432195121951,0.00609756097560976,41
Binoche,2005,14.01,Natal,F,0.0339431851851852,0.0185185185185185,27,0.0291335869565217,0.0108695652173913,46
Binoche,2005,14.01,Natal,M,0.0408037307692308,0,26,0.0344754130434783,0.00543478260869565,46
Binoche,2006,15.01,Natal,F,0.0330169642857143,0.0178571428571429,28,0.02973728,0.01,50
Binoche,2006,15.01,Natal,M,0.0382466428571429,0,28,0.0343844509803922,0.00490196078431373,51
Binoche,2007,16.01,Natal,F,0.03085328125,0.015625,32,0.028698037037037,0.00925925925925926,54
Binoche,2007,16.01,Natal,M,0.0358478333333333,0,30,0.0346516037735849,0.00471698113207547,53
Binoche,2008,17.01,Natal,F,0.0290263421052632,0.0131578947368421,38,0.0282899464285714,0.00892857142857143,56
Binoche,2008,17.01,Natal,M,0.0358478333333333,0,30,0.0416961071428571,0.0133928571428571,56
Binoche,2009,18.01,Natal,F,0.0252588604651163,0.0116279069767442,43,0.0254185238095238,0.00793650793650794,63
Binoche,2009,18.01,Natal,M,0.0338274375,0,32,0.0409723333333333,0.0131578947368421,57
Binoche,2010,19.01,Natal,F,0.0250379782608696,0.0108695652173913,46,0.029281,0.0113636363636364,66
Binoche,2010,19.01,Natal,M,0.0318678333333333,0,36,0.0397367796610169,0.0127118644067797,59
Binoche,2011,20.01,Natal,F,0.0245866666666667,0.0104166666666667,48,0.0280286164383562,0.0102739726027397,73
Binoche,2011,20.01,Natal,M,0.0311190526315789,0,38,0.0367661791044776,0.0111940298507463,67
Binoche,2012,21.01,Natal,F,0.0239234038461538,0.00961538461538462,52,0.0303157590361446,0.00903614457831325,83
Binoche,2012,21.01,Natal,M,0.0319889,0,40,0.0347849027777778,0.0104166666666667,72
Binoche,2013,22.01,Natal,F,0.0238056363636364,0.00909090909090909,55,0.0292901264367816,0.00862068965517241,87
Binoche,2013,22.01,Natal,M,0.0376432195121951,0.00609756097560976,41,0.0355141315789474,0.00986842105263158,76
Binoche,2014,23.01,Natal,F,0.0251153818181818,0.00909090909090909,55,0.0303359550561798,0.00842696629213483,89
Binoche,2014,23.01,Natal,M,0.0342971621621622,0.00675675675675676,37,0.0334947808219178,0.0102739726027397,73
Binoche,2015,24.01,Natal,F,0.0244253859649123,0.0087719298245614,57,0.0296078817204301,0.00806451612903226,93
Binoche,2015,24.01,Natal,M,0.031226,0.00595238095238095,42,0.0377786578947368,0.0164473684210526,76
Binoche,2016,25.01,Natal,F,0.024817375,0.00892857142857143,56,0.0308321063829787,0.00797872340425532,94
Binoche,2016,25.01,Natal,M,0.0315931304347826,0.00543478260869565,46,0.0370832658227848,0.0158227848101266,79
Binoche,2017,26.01,Natal,F,0.0263575714285714,0.00892857142857143,56,0.0311900869565217,0.00815217391304348,92
Binoche,2017,26.01,Natal,M,0.0330804090909091,0.00568181818181818,44,0.0388722361111111,0.0173611111111111,72
Binoche,2018,27.01,Natal,F,0.0282961403508772,0.0087719298245614,57,0.0309954731182796,0.00806451612903226,93
Binoche,2018,27.01,Natal,M,0.0407759565217391,0.016304347826087,46,0.0355363846153846,0.016025641025641,78
Binoche,2019,28.01,Natal,F,0.027925813559322,0.00847457627118644,59,0.031208623655914,0.00806451612903226,93
Binoche,2019,28.01,Natal,M,0.0415170888888889,0.0166666666666667,45,0.0368299466666667,0.0166666666666667,75
Binoche,2020,29.01,Natal,F,0.0289008596491228,0.0087719298245614,57,0.0318915164835165,0.00824175824175824,91
Binoche,2020,29.01,Natal,M,0.0399428936170213,0.0159574468085106,47,0.0370757972972973,0.0168918918918919,74
Bronte,2014,13.01,Natal,F,0.0221023272727273,0.00909090909090909,55,0.0242616516853933,0.0126404494382022,89
